worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date
1,swiggy,delhi,0.00038019770280545883,0.26666666666666666,0.3220338983050847,0.09090909090909091,2024-01-01
2,zomato,mumbai,0.0006803537839676632,0.3333333333333333,0.4067796610169492,0.0363636363636364,2024-01-01
3,uber,bangalore,0.0024812902709408892,0.4,0.6610169491525424,0.14545454545454542,2024-01-02
4,swiggy,pune,0.0013206867571136992,0.3,0.3559322033898305,0.01818181818181812,2024-01-02
5,freelancer,delhi,0.0034818105414815706,0.3333333333333333,0.06779661016949153,0.1636363636363637,2024-01-03
6,uber,chennai,0.0010805618921839357,1.0,0.576271186440678,0.09090909090909091,2024-01-03
7,swiggy,pune,0.0013206867571136992,0.3,0.3559322033898305,0.0,2024-01-04
8,zomato,mumbai,0.0006803537839676632,0.36666666666666664,0.4576271186440678,0.054545454545454515,2024-01-04
10,freelancer,delhi,0.009484932164725658,0.2,0.03389830508474576,0.18181818181818182,2024-01-05
11,swiggy,delhi,8.004162164325449e-05,0.23333333333333334,0.23728813559322035,0.0363636363636364,2024-01-06
12,zomato,mumbai,0.0008804578380757994,0.3,0.4915254237288136,0.10909090909090903,2024-01-06
13,uber,bangalore,0.01949013487013247,0.3333333333333333,0.8305084745762712,0.1636363636363637,2024-01-07
14,swiggy,pune,0.000580301756913595,0.0,0.288135593220339,0.0,2024-01-07
16,uber,chennai,0.0012806659462920719,0.3333333333333333,0.5423728813559322,0.36363636363636365,2024-01-08
17,swiggy,pune,0.0002801456757513907,0.26666666666666666,0.3220338983050847,0.01818181818181812,2024-01-09
18,zomato,mumbai,0.0007804058110217313,0.3333333333333333,0.4406779661016949,0.054545454545454515,2024-01-09
19,uber,bangalore,0.0013206867571136992,0.36666666666666664,0.576271186440678,0.12727272727272732,2024-01-10
20,freelancer,delhi,0.003882018649697843,0.23333333333333334,0.0847457627118644,0.1636363636363637,2024-01-10
21,swiggy,delhi,0.0001800936486973226,0.2,0.22033898305084745,0.0,2024-01-11
22,zomato,mumbai,0.0010805618921839357,0.3333333333333333,0.4745762711864407,0.0727272727272728,2024-01-11
23,uber,bangalore,0.002081082162724617,0.36666666666666664,0.6271186440677966,0.14545454545454542,2024-01-12
24,swiggy,pune,0.0013206867571136992,0.3,0.3389830508474576,0.0363636363636364,2024-01-12
25,freelancer,delhi,0.004482330812022251,0.26666666666666666,0.1016949152542373,0.12727272727272732,2024-01-13
26,uber,chennai,0.00138071797334614,0.3333333333333333,0.5932203389830508,0.09090909090909091,2024-01-13
27,swiggy,pune,0.00032016648657301797,0.23333333333333334,0.3050847457627119,0.01818181818181812,2024-01-14
28,zomato,mumbai,0.0009204786488974266,0.3,0.4576271186440678,0.054545454545454515,2024-01-14
29,uber,bangalore,0.002281186216832753,0.4,0.6949152542372882,0.1636363636363637,2024-01-15
30,freelancer,delhi,0.01148597270580702,0.2,0.05084745762711865,0.18181818181818182,2024-01-15
